ID,Attrition,Degree_Type,Achieved_Credit_Points,Attendance_Type,Age,Failed_Credit_Points,International_student,First_in_family,Gender,GPA,OP_Score,Socio_Economic_Status,Teaching _Period_Admitted,Faculty
132,Retained,Single,96,Full Time,22,0,No,No,M,5.38,7,Medium,SEM-1,Sci and Eng Faculty
133,Not Retained,Single,48,Full Time,19,48,No,No,M,3.75,13,High,SEM-1,Sci and Eng Faculty
134,Retained,Double,96,Full Time,19,0,No,No,M,5.75,8,Medium,SEM-1,Sci and Eng Faculty
135,Not Retained,Single,48,Part Time,19,0,No,No,M,4.75,11,Medium,SEM-1,Faculty of Law
136,Retained,Single,96,Full Time,19,0,No,Yes,M,5.38,4,Low,SEM-1,Faculty of Health
137,Retained,Single,72,Full Time,25,0,No,Yes,M,6.5,5,Medium,SEM-1,Sci and Eng Faculty
138,Retained,Single,96,Full Time,21,0,No,No,M,4.13,23,Low,SEM-1,Faculty of Education
139,Retained,Single,60,Full Time,44,0,No,No,F,5.8,13,High,SEM-2,QUT Business School
140,Retained,Single,84,Full Time,23,0,No,Yes,F,6,3,Medium,SEM-2,Sci and Eng Faculty
141,Retained,Single,96,Full Time,19,0,No,No,F,5.88,8,High,SEM-1,Sci and Eng Faculty
142,Retained,Single,120,Part Time,26,0,No,Yes,F,5,4,High,SEM-2,Faculty of Law
143,Retained,Single,96,Full Time,19,0,No,No,F,4.88,9,Medium,SEM-1,Faculty of Education
144,Retained,Single,96,Full Time,19,0,No,No,F,5.75,7,High,SEM-1,Sci and Eng Faculty
145,Retained,Single,96,Full Time,19,0,No,No,F,5.63,8,High,SEM-1,Sci and Eng Faculty
146,Retained,Single,96,Full Time,21,0,No,No,F,4.75,19,Medium,SEM-1,CI Faculty
147,Retained,Single,144,Full Time,20,0,No,No,F,5.33,4,Medium,SEM-1,CI Faculty
148,Retained,Single,48,Full Time,21,0,Yes,No,F,5,9,Medium,SEM-2,Faculty of Health
149,Retained,Double,60,Full Time,19,24,No,Yes,F,4,8,Medium,SEM-1,Faculty of Health
150,Retained,Single,120,Full Time,20,24,No,No,F,3.67,6,Low,SEM-1,Faculty of Education
151,Retained,Single,96,Full Time,22,0,No,Yes,F,5.6,10,Medium,SEM-2,Faculty of Health
152,Not Retained,Single,48,Full Time,21,0,No,Yes,F,4.25,12,Medium,SEM-1,QUT Business School
153,Retained,Single,180,Full Time,21,0,No,No,F,4.93,5,Medium,SEM-2,CI Faculty
154,Retained,Single,24,Full Time,19,72,No,No,F,2.13,10,Medium,SEM-1,QUT Business School
155,Retained,Single,96,Full Time,19,0,No,No,F,5.38,9,Medium,SEM-1,Faculty of Health
156,Retained,Single,96,Full Time,20,0,No,Yes,F,6.75,3,High,SEM-1,Faculty of Health
157,Retained,Single,12,Full Time,21,36,No,No,F,3,8,High,SEM-1,Faculty of Education
158,Retained,Double,96,Full Time,19,0,No,Yes,M,6.5,5,Low,SEM-1,Sci and Eng Faculty
159,Retained,Single,96,Full Time,19,0,No,No,F,5.63,10,Low,SEM-1,CI Faculty
160,Retained,Single,192,Full Time,21,0,Yes,No,M,5.58,2,High,SEM-1,Sci and Eng Faculty
161,Retained,Single,192,Full Time,23,0,Yes,No,M,5.5,7,Medium,SEM-1,Sci and Eng Faculty
162,Retained,Single,312,Full Time,22,0,Yes,No,M,5.25,6,Low,SEM-2,Sci and Eng Faculty
163,Retained,Single,96,Full Time,19,0,No,Yes,M,5.25,6,Medium,SEM-1,Sci and Eng Faculty
164,Retained,Single,120,Part Time,31,0,Yes,No,F,5.5,25,High,SEM-2,Faculty of Health
165,Retained,Single,192,Full Time,66,0,No,Yes,M,5,4,Medium,SEM-1,Faculty of Law
166,Retained,Single,156,Full Time,20,12,No,No,M,4.33,14,High,SEM-1,Sci and Eng Faculty
167,Retained,Single,192,Full Time,24,12,Yes,No,M,4.44,7,High,SEM-1,QUT Business School
168,Retained,Double,108,Full Time,19,0,No,Yes,M,7,1,Medium,SEM-1,Sci and Eng Faculty
169,Not Retained,Single,12,Full Time,19,36,No,Yes,F,1.75,6,Medium,SEM-2,Sci and Eng Faculty
170,Retained,Single,96,Full Time,20,0,No,No,F,6.13,5,High,SEM-1,Faculty of Education
171,Retained,Single,0,Full Time,27,0,No,Yes,F,0,20,Medium,SEM-1,CI Faculty
172,Retained,Double,96,Full Time,20,0,No,No,F,6,8,Medium,SEM-1,Faculty of Health
173,Retained,Single,96,Full Time,22,0,No,Yes,F,5.14,10,High,SEM-1,Faculty of Health
174,Not Retained,Single,0,Full Time,20,0,No,No,F,0,19,Medium,SEM-1,Sci and Eng Faculty
175,Retained,Single,240,Part Time,26,0,No,Yes,F,6.35,22,Medium,SEM-1,QUT Business School
176,Retained,Single,96,Full Time,19,0,No,No,F,6.25,5,Medium,SEM-1,CI Faculty
177,Retained,Single,192,Full Time,28,0,No,Yes,F,5.75,6,Medium,SEM-1,Faculty of Law
178,Retained,Single,24,Full Time,19,0,No,Yes,F,4.5,8,High,SEM-2,Faculty of Law
179,Retained,Single,72,Full Time,19,0,No,No,F,4.17,10,Medium,SEM-2,CI Faculty
180,Retained,Single,96,Full Time,24,24,No,Yes,F,3.86,24,Medium,SEM-1,Faculty of Health
181,Retained,Single,84,Part Time,20,12,No,Yes,F,4.5,7,Medium,SEM-1,Faculty of Health
182,Retained,Single,84,Full Time,19,12,No,No,F,5,5,Medium,SEM-1,Faculty of Health
183,Retained,Single,108,Full Time,21,0,No,Yes,F,6.88,21,Medium,SEM-1,Faculty of Law
184,Retained,Single,96,Full Time,23,0,No,Yes,M,6,5,Low,SEM-1,CI Faculty
185,Not Retained,Single,96,Full Time,20,0,No,No,M,6.38,4,High,SEM-1,QUT Business School
186,Not Retained,Single,36,Full Time,19,12,No,No,M,4,12,High,SEM-1,CI Faculty
187,Retained,Single,108,Full Time,27,0,No,Yes,F,6.75,24,High,SEM-1,Faculty of Health
188,Retained,Single,192,Full Time,23,12,Yes,No,M,4.22,3,Low,SEM-1,QUT Business School
189,Retained,Single,132,Full Time,22,12,Yes,No,M,3.5,1,Low,SEM-2,QUT Business School
190,Retained,Single,72,Full Time,19,24,No,No,M,4,7,Low,SEM-1,Faculty of Health
191,Retained,Single,96,Full Time,19,0,No,No,M,6.25,2,Low,SEM-1,Faculty of Health
192,Retained,Single,96,Full Time,20,0,No,Yes,F,5.75,9,Medium,SEM-1,Faculty of Health
193,Retained,Single,96,Full Time,19,0,No,No,F,5.75,5,Medium,SEM-1,Faculty of Health
194,Retained,Single,96,Full Time,19,0,No,No,F,6.71,3,Medium,SEM-1,Faculty of Health
195,Retained,Single,96,Full Time,19,0,No,Yes,F,5.63,8,Medium,SEM-1,CI Faculty
196,Retained,Single,84,Full Time,27,12,No,Yes,F,4,20,Medium,SEM-1,Faculty of Health
197,Retained,Single,84,Full Time,20,12,No,Yes,F,3.75,13,High,SEM-1,QUT Business School
198,Retained,Single,72,Full Time,19,0,No,Yes,F,5,4,High,SEM-2,Faculty of Law
199,Retained,Single,96,Full Time,19,0,No,Yes,F,4.5,12,Low,SEM-1,Faculty of Education
200,Retained,Single,96,Full Time,20,0,No,No,F,5,11,Low,SEM-2,CI Faculty
201,Not Retained,Single,12,Full Time,19,24,No,Yes,M,2.33,3,Medium,SEM-1,CI Faculty
202,Retained,Single,96,Full Time,19,0,No,Yes,M,4.63,11,Medium,SEM-1,Faculty of Education
203,Retained,Single,48,Full Time,20,0,No,No,M,4,16,High,SEM-2,Faculty of Law
204,Retained,Single,144,Full Time,32,0,No,No,M,5.75,23,Medium,SEM-2,Faculty of Health
205,Retained,Single,96,Part Time,19,0,No,No,M,5.38,8,Medium,SEM-1,Sci and Eng Faculty
206,Retained,Single,96,Full Time,19,0,No,Yes,F,6.13,7,Medium,SEM-1,CI Faculty
207,Retained,Single,228,Full Time,24,0,No,No,M,5.32,3,Medium,SEM-2,Sci and Eng Faculty
208,Not Retained,Single,156,Full Time,21,24,No,No,M,4.57,5,Low,SEM-1,Sci and Eng Faculty
209,Retained,Single,24,Part Time,20,24,No,No,M,2.75,15,High,SEM-1,QUT Business School
210,Retained,Single,96,Full Time,21,0,No,Yes,M,5.75,24,Medium,SEM-1,Faculty of Health
211,Retained,Single,24,Full Time,20,24,No,No,M,3.25,25,High,SEM-2,Sci and Eng Faculty
212,Retained,Single,96,Full Time,20,48,No,Yes,M,3.38,14,Medium,SEM-1,QUT Business School
213,Retained,Single,108,Full Time,20,0,No,No,M,5.88,4,Low,SEM-1,Faculty of Health
214,Retained,Single,168,Full Time,21,0,No,Yes,M,5.07,3,Low,SEM-1,Sci and Eng Faculty
215,Retained,Single,48,Full Time,20,0,No,No,M,4.75,4,Medium,SEM-2,Faculty of Law
216,Retained,Single,96,Full Time,19,0,No,Yes,F,5.38,2,Low,SEM-1,Faculty of Health
217,Not Retained,Single,0,Full Time,26,48,No,No,M,1.25,5,Medium,SEM-1,Faculty of Health
218,Retained,Single,108,Full Time,32,0,No,Yes,F,5,1,Medium,SEM-1,CI Faculty
219,Not Retained,Single,96,Full Time,32,0,No,No,M,0,21,Medium,SEM-1,Faculty of Law
220,Retained,Single,144,Full Time,21,12,Yes,No,M,4.54,13,High,SEM-2,Sci and Eng Faculty
221,Not Retained,Single,96,Full Time,19,0,No,No,M,5.38,8,Medium,SEM-1,Sci and Eng Faculty
222,Retained,Single,96,Full Time,19,0,No,No,M,5.25,12,High,SEM-1,Sci and Eng Faculty
223,Retained,Single,144,Full Time,29,0,No,No,F,5.33,2,High,SEM-2,Faculty of Health
224,Retained,Single,72,Full Time,21,24,No,Yes,M,4,10,Low,SEM-1,CI Faculty
225,Not Retained,Single,48,Full Time,22,48,No,Yes,M,1,9,Medium,SEM-1,QUT Business School
226,Retained,Single,96,Full Time,21,0,No,Yes,M,4.75,1,High,SEM-1,Sci and Eng Faculty
227,Not Retained,Single,0,Full Time,19,0,No,No,M,0,13,High,SEM-1,CI Faculty
228,Retained,Single,36,Full Time,29,0,No,No,M,7,21,Medium,SEM-1,CI Faculty
229,Retained,Single,96,Full Time,20,48,No,No,M,3.92,5,High,SEM-1,Sci and Eng Faculty
230,Retained,Single,72,Full Time,24,12,No,No,M,4.43,17,High,SEM-1,QUT Business School
231,Retained,Single,108,Part Time,22,36,No,Yes,M,1.75,1,Medium,SEM-1,Faculty of Law
232,Retained,Single,36,Full Time,22,0,No,Yes,M,5.33,12,High,SEM-2,Sci and Eng Faculty
233,Retained,Single,96,Full Time,20,0,No,No,M,6.5,6,High,SEM-1,Sci and Eng Faculty
234,Retained,Single,96,Full Time,29,0,No,No,M,5.13,8,Medium,SEM-1,CI Faculty
235,Retained,Single,48,Full Time,21,0,Yes,No,M,5.5,12,High,SEM-2,Sci and Eng Faculty
236,Retained,Single,72,Full Time,19,24,No,No,M,4,6,High,SEM-1,QUT Business School
237,Not Retained,Single,12,Full Time,20,84,No,No,M,1.57,4,Low,SEM-1,Faculty of Health
238,Not Retained,Single,0,Full Time,24,36,No,Yes,M,1,13,Low,SEM-1,Faculty of Health
239,Not Retained,Single,72,Full Time,19,24,No,Yes,M,4.13,9,Medium,SEM-1,Sci and Eng Faculty
240,Not Retained,Single,36,Full Time,24,12,No,No,M,4,12,High,SEM-1,QUT Business School
241,Retained,Single,96,Full Time,19,0,No,No,M,5.25,7,Low,SEM-1,Faculty of Law
242,Retained,Single,120,Full Time,24,0,No,No,M,5.71,2,High,SEM-1,Sci and Eng Faculty
243,Retained,Single,96,Full Time,23,0,No,No,M,5.88,16,High,SEM-1,Sci and Eng Faculty
244,Retained,Single,120,Full Time,27,12,No,No,M,3.67,3,High,SEM-2,QUT Business School
245,Retained,Double,96,Full Time,20,0,No,No,M,6.25,8,High,SEM-1,Sci and Eng Faculty
246,Retained,Single,84,Full Time,27,12,No,Yes,M,4.13,25,Medium,SEM-1,Faculty of Health
247,Not Retained,Single,24,Full Time,20,0,No,No,M,4.5,8,Medium,SEM-1,Sci and Eng Faculty
248,Retained,Single,96,Full Time,20,0,No,Yes,M,6.14,11,High,SEM-1,Faculty of Health
249,Retained,Single,36,Full Time,20,12,No,No,M,4.75,13,High,SEM-2,Sci and Eng Faculty
250,Retained,Single,96,Full Time,20,0,No,No,M,5.13,11,Medium,SEM-1,Sci and Eng Faculty
251,Not Retained,Single,0,Full Time,20,24,No,No,M,3,23,High,SEM-2,Sci and Eng Faculty
252,Retained,Double,96,Full Time,19,0,No,Yes,M,5.63,7,Medium,SEM-1,Sci and Eng Faculty
253,Retained,Single,120,Full Time,21,0,No,No,M,4.67,11,Medium,SEM-1,Faculty of Health
254,Not Retained,Single,96,Full Time,24,0,No,No,M,5.88,11,High,SEM-1,CI Faculty
255,Not Retained,Single,120,Part Time,44,0,No,Yes,M,4,11,Medium,SEM-1,Faculty of Law
256,Not Retained,Single,36,Full Time,19,48,No,Yes,M,2.43,12,Medium,SEM-1,Sci and Eng Faculty
257,Not Retained,Single,12,Full Time,20,36,No,No,M,2.25,5,Medium,SEM-1,Faculty of Health
258,Retained,Single,12,Part Time,26,0,No,Yes,M,5,17,High,SEM-1,CI Faculty
259,Retained,Single,144,Full Time,30,0,No,No,M,5.1,7,High,SEM-2,Faculty of Health
260,Retained,Single,48,Full Time,21,24,No,No,M,3.17,25,Medium,SEM-1,Sci and Eng Faculty
261,Retained,Single,96,Full Time,19,0,No,No,M,6.13,3,High,SEM-1,QUT Business School
262,Retained,Single,96,Full Time,26,0,No,No,M,5.75,22,Medium,SEM-1,Sci and Eng Faculty
263,Retained,Single,60,Full Time,19,12,No,Yes,M,4.17,9,Medium,SEM-1,Faculty of Health
264,Retained,Double,96,Full Time,19,0,No,No,M,6.25,5,Medium,SEM-1,Sci and Eng Faculty
265,Retained,Single,96,Full Time,19,0,No,No,M,5.13,3,Medium,SEM-1,QUT Business School
266,Retained,Single,84,Full Time,19,0,No,Yes,M,5.43,11,Medium,SEM-1,Sci and Eng Faculty
267,Retained,Single,96,Full Time,19,0,No,No,M,5.75,1,High,SEM-1,QUT Business School
268,Retained,Single,156,Full Time,22,0,No,No,M,5,9,Medium,SEM-1,CI Faculty
269,Retained,Single,96,Full Time,18,0,No,No,M,4.63,5,High,SEM-1,Sci and Eng Faculty
